
**`@when` data outside of date coverage range of parent _FRUS_ volume**

Outlier data in `@when` | Frequency | Issue | Date Entries | Volume Coverage Dates | URIs
 1947-02-11 | 1 | `@when` outside of volume date range | <ul><li>11 February 1947</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d397</li></ul>
 1947-02-12 | 1 | `@when` outside of volume date range | <ul><li>12 February 1947</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d398</li></ul>
 1947-02-13 | 1 | `@when` outside of volume date range | <ul><li>13 February 1947</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d399</li></ul>
 1947-02-18 | 1 | `@when` outside of volume date range | <ul><li>18 February 1947</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d400</li></ul>
 1947-02-20 | 1 | `@when` outside of volume date range | <ul><li>20 February 1947</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d401</li></ul>
 1947-02-22 | 1 | `@when` outside of volume date range | <ul><li>22 February 1947</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d402</li></ul>
 1947-02-27 | 1 | `@when` outside of volume date range | <ul><li>27 February 1947</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d403</li></ul>
 1947-03-05 | 1 | `@when` outside of volume date range | <ul><li>March 5, 1947</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d407</li></ul>
 1947-03-09T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>March 9, 1947—9 p.m.</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d408</li></ul>
 1947-05-04T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>May 4, 1947—6 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v04/d60</li></ul>
 1947-05-09T10:00:00 | 1 | `@when` outside of volume date range | <ul><li>May 9, 1947—10 a.m.</li></ul> | <ul><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v08/d764</li></ul>
 1947-06-22T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>June 22, 1947—7 p. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v09/d811</li></ul>
 1947-06-26 | 1 | `@when` outside of volume date range | <ul><li>June 26, 1947</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d1</li></ul>
 1947-07-20T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>July 20, 1947—6 p.m.</li></ul> | <ul><li>1937</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1937v03/d221</li></ul>
 1947-08-10T07:00:00 | 1 | `@when` outside of volume date range | <ul><li>August 10 [11], 1941—7 a.m. [p.m.]</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v05/d736</li></ul>
 1947-08-30T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>August 30, 1947—7 p.m.</li></ul> | <ul><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v08/d630</li></ul>
 1947-10-20T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>October 20, 1947—noon</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d122</li></ul>
 1947-11-14 | 1 | `@when` outside of volume date range | <ul><li>November 14, 1947.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d440</li></ul>
 1947-11-24T20:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 24, 1947—8 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d123</li></ul>
 1947-11-26T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 26, 1947—7 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v05p1/d151</li></ul>
 1947-11-29T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 29, 1947—2 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d443</li></ul>
 1947-12-01T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 1, 1947—6 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d444</li></ul>
 1947-12-04T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 4, 1947—7 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d124</li></ul>
 1947-12-05T11:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 5, 1947—11 a. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d448</li></ul>
 1947-12-05T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 5, 1947—6 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d447</li></ul>
 1947-12-06T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 6, 1947—3 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d126</li></ul>
 1947-12-07T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 7, 1947—4 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d450</li></ul>
 1947-12-08T11:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 8, 1947—11 a. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v05p1/d152</li></ul>
 1947-12-08T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 8, 1947—6 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d127</li></ul>
 1947-12-09T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 9, 1947—6 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d451</li></ul>
 1947-12-09T20:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 9, 1947—8 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d452</li></ul>
 1947-12-10 | 1 | `@when` outside of volume date range | <ul><li>December 10, 1947</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v04/d327</li></ul>
 1947-12-11T00:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 11, 1947—midnight.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d457</li></ul>
 1947-12-11T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 11, 1947—3 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d455</li></ul>
 1947-12-11T22:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 11, 1947—10 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d456</li></ul>
 1947-12-12 | 1 | `@when` outside of volume date range | <ul><li>December 12, 1947.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d458</li></ul>
 1947-12-16T13:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 16, 1947—1 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d461</li></ul>
 1947-12-17T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 17, 1947—4 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d462</li></ul>
 1947-12-19T17:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 19, 1947—5 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d129</li></ul>
 1947-12-22T17:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 22, 1947—5 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d1</li></ul>
 1947-12-23 | 1 | `@when` outside of volume date range | <ul><li>December 23, 1947</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d125</li></ul>
 1947-12-26 | 1 | `@when` outside of volume date range | <ul><li>December 26, 1947</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v08/d256</li></ul>
 1947-12-27T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 27, 1947—2 p.m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v08/d288</li></ul>
 1947-12-27T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 27, 1947—4 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d463</li></ul>
 1947-12-31T11:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1947—11 a. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d204</li></ul>
 1947-12-31T13:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1947—1 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v07/d709</li></ul>
 1948-01-06T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 6, 1948—4 p.m.</li></ul> | <ul><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v08/d416</li></ul>
 1948-01-07 | 1 | `@when` outside of volume date range | <ul><li>January 7, 1948 [1949]</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v08/d14</li></ul>
 1948-01-16 | 1 | `@when` outside of volume date range | <ul><li>January 16, 1948</li></ul> | <ul><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v08/d900</li></ul>
 1948-02-03 | 1 | `@when` outside of volume date range | <ul><li>February 3, 1948</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v04/d594</li></ul>
 1948-02-14 | 1 | `@when` outside of volume date range | <ul><li>February 14, 1948</li></ul> | <ul><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v08/d233</li></ul>
 1948-02-16 | 1 | `@when` outside of volume date range | <ul><li>February 16, 1948</li></ul> | <ul><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v03/d413</li></ul>
 1948-03-03 | 1 | `@when` outside of volume date range | <ul><li>March 3, 1948.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v01/d289</li></ul>
 1948-04-23 | 1 | `@when` outside of volume date range | <ul><li>April 23, 1948.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v01/d290</li></ul>
 1948-05-19 | 1 | `@when` outside of volume date range | <ul><li>May 19, 1948</li></ul> | <ul><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v03/d678</li></ul>
 1948-05-27T08:00:00 | 1 | `@when` outside of volume date range | <ul><li>May 27, 1948—8 a. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v09/d1012</li></ul>
 1948-06-01T08:00:00 | 1 | `@when` outside of volume date range | <ul><li>June 1, 1949—8 a. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v06/d43</li></ul>
 1948-07-22 | 1 | `@when` outside of volume date range | <ul><li>July 22, 1948</li></ul> | <ul><li>1947</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1947v03/d142</li></ul>
 1948-08-26 | 1 | `@when` outside of volume date range | <ul><li>August 26, 1948</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943/d536</li></ul>
 1948-09-24 | 1 | `@when` outside of volume date range | <ul><li>September 24, 1948</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d576</li></ul>
 1948-10-11 | 1 | `@when` outside of volume date range | <ul><li>October 11, 1948</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v06/d1</li></ul>
 1948-11-21T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 21, 1948—3 p. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v09/d1038</li></ul>
 1948-11-28T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 28, 1948—2 p. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v08/d698</li></ul>
 1948-12-01 | 1 | `@when` outside of volume date range | <ul><li>December 1, 1948</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v09/d291</li></ul>
 1948-12-07 | 1 | `@when` outside of volume date range | <ul><li>December 7, 1948</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v09/d292</li></ul>
 1948-12-11T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 11, 1948—2 p. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v07p1/d86</li></ul>
 1948-12-28T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 28, 1948—noon</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v09/d496</li></ul>
 1948-12-30T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 30, 1948—7 p. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v05/d271</li></ul>
 1948-12-31T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1948—7 p. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v05/d272</li></ul>
 1949-01-03T17:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 3, 1949—5 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v05p2/d861</li></ul>
 1949-01-04 | 1 | `@when` outside of volume date range | <ul><li>January 4, 1949</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d123</li></ul>
 1949-01-14 | 1 | `@when` outside of volume date range | <ul><li>January 14, 1949</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d495</li></ul>
 1949-01-24T20:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 24, 1949—8 p. m.</li></ul> | <ul><li>1950</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1950v04/d765</li></ul>
 1949-01-27 | 1 | `@when` outside of volume date range | <ul><li>January 27, 1949</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d496</li></ul>
 1949-02-09T08:25:00 | 1 | `@when` outside of volume date range | <ul><li>February 9, 1949—8:25 a. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d49</li></ul>
 1949-02-10 | 1 | `@when` outside of volume date range | <ul><li>February 10, 1949</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d199</li></ul>
 1949-02-11 | 1 | `@when` outside of volume date range | <ul><li>February 11, 1949</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d444</li></ul>
 1949-03-25T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>March 25, 1949—2 p. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v09/d183</li></ul>
 1949-11-11 | 1 | `@when` outside of volume date range | <ul><li>November 11, 1949</li></ul> | <ul><li>1950</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1950v04/d758</li></ul>
 1949-11-16 | 1 | `@when` outside of volume date range | <ul><li>16 November 1949</li></ul> | <ul><li>1950</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1950v04/d759</li></ul>
 1949-11-17 | 1 | `@when` outside of volume date range | <ul><li>November 17, 1949</li></ul> | <ul><li>1950</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1950v04/d760</li></ul>
 1949-12-22 | 1 | `@when` outside of volume date range | <ul><li>December 22, 1949</li></ul> | <ul><li>1950</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1950v05/d754</li></ul>
 1949-12-30T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 30, 1949—7 p. m.</li></ul> | <ul><li>1950</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1950v02/d256</li></ul>
 1950-01-05T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 5, 1950—9 p. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v06/d13</li></ul>
 1950-01-06T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 6, 1950—4 p. m.</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v09/d1191</li></ul>
